Code;Territoire;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99
21001A041;VEEWEYDE-SUD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,51465798;0,51465798;0,51465798;0,51465798;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;2,633333333;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0,51465798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A472;STADE COMMUNAL - INDUSTRIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0,549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A83-;PETERBOS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,04;4,04;4,04;4,04;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;4,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A503;VIVES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,763184713;1,763184713;1,763184713;1,763184713;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,697346072;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;1,763184713;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A3MJ;CERIA I;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A331;WALCOURT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A332;ROUE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,816;0,816;0,816;0,816;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;1,453333333;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0,816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A43-;VAN BEETHOVEN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9475;0,9475;0,9475;0,9475;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;1,110416667;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0,9475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A401;ARBORETUM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,153333333;0,153333333;0,153333333;0,153333333;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,622222222;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0,153333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A32-;AURORE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,64;3,64;3,64;3,64;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;4,733333333;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;3,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A53-;NELLIE MELBA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,111898734;0,111898734;0,111898734;0,111898734;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,206751055;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0,111898734;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A41-;ROMAIN ROLLAND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,04;2,04;2,04;2,04;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;1,433333333;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;2,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A492;ETANGS - PARC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A37-;ZUEN - INDUSTRIE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A85-;AUBADE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0696;0,0696;0,0696;0,0696;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,625333333;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0,0696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001B3MJ;PETITE ILE - RIVE DROITE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A51-;SCHERDEMAEL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,86647482;1,86647482;1,86647482;1,86647482;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,044604317;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;1,86647482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21001A42-;KAT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0,647272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
